,Birth_Rate_Crude_Per_1000,Death_Rate_Crude_Per_1000,GNI_Per_Capita_USD,Labour_Force_Female_%,Age_First_Marriage_Male,Age_First_Marriage_Female,School_Enrollment_Primary_%Net,School_Enrollment_Secondary_%Net,Total_Deaths,Total_Injuries,Total_Homeless,Total_Affected,Tuberculosis_Death_Rate_per_100000ppl,Total_Alcohol_Consumption_Per_Capita,Physicians_Per_1000ppl,Nurses_Per_1000ppl,Total_Alcohol_Consumption_Per_Capita,Number_Under-five_Deaths,Hospital_Beds_Per_1000ppl,Immunization_HepB3_%OneYearOld,ImmunizationMeasles%Children12To23Months,Adults_Newly_Infected_With_HIV,Adults_And_Children_Living_With_HIV,Life_Exp_Birth_Total_Yr,Life_Exp_Birth_Male_Yr,Life_Exp_Birth_Female_Yr,Population_Growth_%,Access_To_Basic_Drinking_Water_Total,Access_To_Basic_Drinking_Water_Urban,Access_To_Basic_Sanitation_Total,Access_To_Basic_Sanitation_Urban,Unemployment_Female,Unemployment_Male,Unemployment_Total,QOL_Measure,Dev_Measure,HDI_Measure,Complex_Disasters,Drought,Earthquake,Epidemic,Flood,Industrial Accident,Landslide,None,Storm,Wildfire
684,0.919990458015267,0.4326241134751774,0.0065319763025976,0.47134913548152824,0.13461538461538414,0.016181262135922303,0.6271365511647541,0.11087598508761103,0.0,0.0,0.0,0.0,0.45826645264847515,0.6426395939086295,0.0050510278013538405,0.012902561859615495,0.6426395939086295,0.37736989613672584,0.03448275862068967,0.2941176470588235,0.41666666666666663,0.06444444444444444,0.08870495777944988,0.11453806562311764,0.1115129965669448,0.11738083495314622,0.8435926110407833,0.0532334022558707,0.027968697811279863,0.030511576523464368,0.08924010536753285,0.04449648711943795,0.08873281234543479,0.07615467239527388,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
932,0.18373091603053432,0.1028368794326241,0.1373234087801914,0.1332297826380202,0.365384615384615,0.5825242718446602,0.889836051147444,0.7690843008335991,0.0,0.0,0.0,0.0,0.6990369181380418,0.032487309644670045,0.08445980913739212,0.12320467219388573,0.032487309644670045,0.5874944421408125,0.25517241379310346,0.8352941176470589,0.8611111111111109,0.6,0.4482066716829696,0.6853776353158143,0.6743195193722413,0.6967710116336419,0.22033365058712429,0.8482464177891716,0.873345944517506,0.7976122235759749,0.8400747810716921,0.4034212401995724,0.40973390048471675,0.43823845327604727,0.5,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1165,0.4223282442748091,0.29669030732860513,0.013367765456478808,0.4798993215137539,0.3749999999999991,0.6213592233009713,0.0,0.0,0.0,0.0,0.0,0.0,0.6990369181380418,0.0,1.0,0.1432338734056717,0.0,0.5521839264214381,0.0,0.49411764705882355,0.2777777777777778,0.024444444444444446,0.0326895744502968,0.14513528148543076,0.16147621383030897,0.1298558124691751,0.9495591357022031,0.0,0.6475698413424169,0.0,0.05042454953641318,0.25374198146828225,0.2982490849737858,0.29860365198711064,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
950,0.1764551526717557,0.10891590678824714,0.14172869512380373,0.17725406694624368,0.365384615384615,0.5825242718446602,0.8737594858582537,0.6583067574076912,0.0,0.0,0.0,0.0,0.6789727126805779,0.032487309644670045,0.09236756577721658,0.23600882468338552,0.032487309644670045,0.5630198784015348,0.25517241379310346,0.8352941176470589,0.8472222222222221,0.5555555555555556,0.4482066716829696,0.6915567803728859,0.6803580186365865,0.7031245466941309,0.21004781751375612,0.8611743869757728,0.8899994497783226,0.8257703031977018,0.8643194867967351,0.31860299358517463,0.336235038084875,0.3544575725026853,0.5,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1091,0.7390982824427481,0.3145052347180006,0.0018228771077016558,0.987277613330805,0.2692307692307683,0.48058252427184445,0.9337874004642542,0.78326697705113,0.0,0.0,0.0,0.0,0.032905296950240775,0.4741116751269035,0.9585360299749521,0.14664925742733462,0.4741116751269035,0.17378488961716965,0.24137931034482757,0.8,0.9722222222222221,0.3555555555555556,0.2308335423459577,0.786721584440256,0.7533717508582636,0.8153993443383911,0.2503238697863572,0.9686811059413357,0.971464031388984,0.8807319329452388,0.8892428053546476,0.4305060584461868,0.3787713918290633,0.4285714285714285,0.75,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
913,0.19906965648854963,0.08941236068895642,0.1405134437186693,0.12620372044945194,0.365384615384615,0.5825242718446602,0.877494821011744,0.6583067574076912,0.0,0.0,0.0,0.0,0.7391653290529695,0.035532994923857864,0.05276667977725796,0.07469464151331741,0.035532994923857864,0.6444918493058297,0.2379310344827586,0.823529411764706,0.8472222222222221,0.6666666666666666,0.43148566173396874,0.6712282886633882,0.6601888180480628,0.6827294090342042,0.2445390130708215,0.8219541758365286,0.8400490084772887,0.74185825006359,0.7923241160960711,0.37165258120354344,0.4125037095657336,0.4274973147153598,1.0,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
267,0.8614026717557252,0.791033434650456,0.011392981923135348,0.39820472304059606,0.1538461538461533,0.1310679611650487,0.7444745094180244,0.09157900929301994,0.0,0.0,0.0,0.0,0.45826645264847515,0.7522842639593909,0.00434719605854224,0.034025200517131586,0.7522842639593909,0.146357791244311,0.5517241379310344,0.9647058823529412,0.9166666666666665,0.024444444444444446,0.0744920993227991,0.27988243504882715,0.26891245708680733,0.28854913110331015,0.8032833792057186,0.27933014784244137,0.4986066217241465,0.41341686503681735,0.23208983435699593,0.0943895733632013,0.16727668414284302,0.1377013963480129,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
725,0.8740458015267175,0.3155184059439379,0.005772444174388576,0.4415824555327239,0.13461538461538414,0.016181262135922303,0.5403251621828719,0.11087598508761103,0.0,0.0,0.0,0.022197642880443694,0.478330658105939,0.1218274111675127,0.0050717287349659485,0.006078225801264528,0.1218274111675127,0.3639610924877727,0.03448275862068967,0.3176470588235294,0.13888888888888884,0.04444444444444444,0.08870495777944988,0.1541204151191442,0.15139161353604713,0.15669151991644648,0.766671644069674,0.07664071425887808,0.014118610744511706,0.03782555743800137,0.14758879565882788,0.053456878118317896,0.0968443960826986,0.0858216970998926,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.25989980916030536,0.1571259709557582,0.03630563572839131,0.16659464809678637,0.32692307692307665,0.49514563106796117,0.8455144512830605,0.7039245971489165,0.0,0.0,0.0,0.0,0.29775280898876405,0.5390862944162437,0.0868611174363964,0.04469586359046265,0.5390862944162437,0.04244955462189072,0.27586206896551724,0.9058823529411765,0.8472222222222221,0.0,0.006772009029345372,0.5808396353647696,0.5591895537027955,0.6030636223853316,0.36347646907538944,0.7872781966855865,0.8935983645241858,0.43713192700787906,0.44979925073482574,0.29915487221260567,0.17825699871401726,0.2464017185821697,0.75,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1102,0.7246660305343511,0.29618372171563667,0.0018228771077016558,0.9854571253003037,0.4038461538461542,0.5436893203883495,0.9272683644527412,0.7963804449243224,0.0,0.0,0.0,0.0,0.032905296950240775,0.4741116751269035,0.9584325253068915,0.15260527551407638,0.4741116751269035,0.16700555036544484,0.24137931034482757,0.9294117647058823,0.9583333333333333,0.3777777777777778,0.24755455229495862,0.7871096466902172,0.7544752329573319,0.8150802170065854,0.23966566642001785,0.9758855003215433,0.9813815833829951,0.8885376279623629,0.895347106580103,0.3758273088280216,0.33940053417746574,0.3802363050483351,0.25,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
