Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 18 Mar 2022 22:44:01 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2005-0057-BDI,2005,0057,,Natural,Hydrological,Flood,Flash flood,,,Burundi,BDI,Eastern Africa,Africa,"Gatumba area (Mutimbuzi district, Bujumbura Rural province), Imbo area (Gihanga district, Bubanza province), Kinyinya Hill area (Kinyinya district, Ruyigi province), Mushasha area (Gitega district, Gitega province), Muyange area (Burambi district, Bururi province)",Torrential rains,,,,,,,,Km2,,,,,2005,2,2,2005,2,2,,,,5000,5000,,,,,,,72.07141045,2,,40589;40591;40616;40689;48356,"Burambi, Gihanga, Gitega, Kinyinya, Mutimbuzi (Adm2)."
2005-0160-IDN,2005,0160,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Simeulue, Aceh Singkil districts (Nangroe Aceh Darussalam province) Nias, Nias Selatan districts (Sumatera Utara province)",,Tsunami/Tidal wave,,Yes,,,3629,9,Richter,2.085,97.108,23:09,,2005,3,28,2005,3,28,915,1146,104167,,105313,,,,,,,72.07141045,2,,73627;73811;73812;73850,"Aceh Singkil, Nias, Nias Selatan, Simeulue (Adm2)."
2005-0031-IDN,2005,0031,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Kota Palu district (Sulawesi Tengah province),,,,,,,,6,Richter,-1.198,119.933,04:11,,2005,1,23,2005,1,23,1,4,680,,684,,,,,,,72.07141045,2,,73741,Kota Palu (Adm2).
2005-0089-IDN,2005,0089,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,Bandung district (Jawa Barat province),,,,,,,,,,,,,,2005,2,21,2005,2,21,143,,,,,,,,,5000,6938,72.07141045,2,,73636,Bandung (Adm2).
2005-0103-USA,2005,0103,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,Los Angeles district (California province),Heavy rains,"Slide (land, mud, snow, rock)",Rain,,,,,,Km2,,,,,2005,2,17,2005,2,23,9,,150,,150,,,200000,277503,250000,346878,72.07141045,2,,28883,Los Angeles (Adm2).
2005-0015-USA,2005,0015,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"La Conchita area (Ventura district, California province), Malibu area (Los Angeles district, California province), Sacramento district (California province), Arizona, Ohio provinces","Heavy rain, heavy snow","Slide (land, mud, snow, rock)",,,,Yes,,560,Km2,,,,"Venturea, Ohio rivers",2005,1,7,2005,1,11,28,8,500,,508,,,200000,277503,200000,277503,72.07141045,1;2,3216;3249,28883;28898;28920,"Arizona, Ohio (Adm1). Los Angeles, Sacramento, Ventura (Adm2)."
2005-0029-USA,2005,0029,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"New York, Connecticut, Wisconsin, Ohio, Maryland, Massachusetts, Iowa provinces",,Cold wave,,,,,,,Kph,,,,,2005,1,22,2005,1,24,20,,,,,,,200000,277503,350000,485629,72.07141045,1,3220;3229;3234;3235;3246;3249;3263,,"Connecticut, Iowa, Maryland, Massachusetts, New York, Ohio, Wisconsin (Adm1)."
2005-0120-PHL,2005,0120,,Natural,Meteorological,Storm,Tropical cyclone,,Roke (Auring/02W),Philippines (the),PHL,South-Eastern Asia,Asia,Leyte district (Region VIII (Eastern Visayas) province),,,,,,,,120,Kph,,,,,2005,3,15,2005,3,17,18,,11,,11,,,,,,,72.07141045,2,,24258,Leyte (Adm2).
2005-9067-BDI,2005,9067,,Natural,Climatological,Drought,Drought,,,Burundi,BDI,Eastern Africa,Africa,"Busoni, Bugabira, Ntega, Kirundo districts (Kirundo province), Ruyigi, Cankuzo, Rutana, Muyinga provinces","Lack of rain, prolonged dry season",Crop failure,Famine,,Yes,Yes,,,Km2,,,,,2005,1,,2006,1,,120,,2150000,,2150000,,,,,,,72.07141045,1;2,40546;40554;40557;40558,40638;40639;40642;40643,"Cankuzo, Muyinga, Rutana, Ruyigi (Adm1). Bugabira, Busoni, Kirundo, Ntega (Adm2)."
2005-0223-IDN,2005,0223,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Jongar, Lawe Mengkudu, Lawe Penanggalan, Jambur Lak Lak, Badar villages (Aceh Tenggara district, Nangroe Aceh Darussalam province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,1730,Km2,,,,Lawe Alas river,2005,4,26,2005,4,27,47,18,750,,768,,,,,,,72.07141045,2,,73630,Aceh Tenggara (Adm2).
2005-0589-IDN,2005,0589,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lawe Beringan, Semadam Awal villages (Semadam area, Aceh Tenggara district, Nangroe Aceh Darussalam province), Tirtoyudo, Sumbermanjing Wetan, Dampit, Ampilgading villages (Malang district, Jawa Timur province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,2460,Km2,,,,Simpang,2005,10,18,2005,10,19,28,211,12000,,12211,,,,,,,72.07141045,2,,73630;73780,"Aceh Tenggara, Malang (Adm2)."
2005-0718-IDN,2005,0718,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Panti, Tanggul, Arjasa, Rambipuji, Kaliwates, Wuluhan, Patrang, Balung, Puger areas (Jember district, Jawa Timur province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,322,,Km2,,,,Kaliputih,2005,12,31,2006,1,3,79,30,7781,,7811,,,,,,,72.07141045,2,,18070,Jember (Adm2).
2005-0591-CAN,2005,0591,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Stephenville & Kippens towns (Division No. 4 district, Newfoundland and Labrador province), Reidville town (Division No. 5 district, Newfoundland and Labrador province)",Heavy rains,,,,,Yes,,330,Km2,,,,Blanche Brook,2005,9,27,2005,9,29,,,600,,600,,,,,,,72.07141045,2,,12611;12612,"Division No. 4, Division No. 5 (Adm2)."
