Fact_Key,Month_Key,Country_Key,Population_Key,Education_Key,Health_Key,QOL_Key,Event_Key,HDI_Measure,QOL_Measure,Dev_Measure
114,6,96,96,0,0,0,-1,3,4,2
117,2,96,96,0,0,0,-1,3,4,2
125,7,96,96,0,0,0,-1,3,4,2
143,4,96,96,0,0,0,-1,3,4,2
144,3,96,96,0,0,0,-1,3,4,2
152,5,96,96,0,0,0,-1,3,4,2
158,8,96,96,0,0,0,-1,3,4,2
166,10,96,96,0,0,0,-1,3,4,2
167,0,96,96,0,0,0,-1,3,4,2
176,11,96,96,0,0,0,-1,3,4,2
188,9,96,96,0,0,0,-1,3,4,2
192,1,96,96,0,0,0,-1,3,4,2
4,17,97,97,1,1,1,-1,3,4,2
10,18,97,97,1,1,1,-1,3,4,2
17,19,97,97,1,1,1,-1,3,4,2
23,20,97,97,1,1,1,-1,3,4,2
29,12,97,97,1,1,1,68,3,4,2
34,13,97,97,1,1,1,68,3,4,2
40,16,97,97,1,1,1,-1,3,4,2
42,14,97,97,1,1,1,68,3,4,2
48,15,97,97,1,1,1,68,3,4,2
85,21,97,97,1,1,1,-1,3,4,2
92,22,97,97,1,1,1,-1,3,4,2
98,23,97,97,1,1,1,-1,3,4,2
60,26,98,98,2,2,2,63,3,4,2
61,32,98,98,2,2,2,-1,3,4,2
67,27,98,98,2,2,2,63,3,4,2
72,28,98,98,2,2,2,63,3,4,2
78,30,98,98,2,2,2,-1,3,4,2
80,29,98,98,2,2,2,-1,3,4,2
81,31,98,98,2,2,2,-1,3,4,2
83,25,98,98,2,2,2,63,3,4,2
84,33,98,98,2,2,2,-1,3,4,2
91,35,98,98,2,2,2,-1,3,4,2
100,34,98,98,2,2,2,-1,3,4,2
105,24,98,98,2,2,2,63,3,4,2
2,39,99,99,3,3,3,-1,3,4,2
9,38,99,99,3,3,3,-1,3,4,2
18,37,99,99,3,3,3,-1,3,4,2
31,42,99,99,3,3,3,-1,3,4,2
39,41,99,99,3,3,3,-1,3,4,2
47,40,99,99,3,3,3,-1,3,4,2
56,36,99,99,3,3,3,-1,3,4,2
124,46,99,99,3,3,3,-1,3,4,2
154,47,99,99,3,3,3,-1,3,4,2
161,44,99,99,3,3,3,-1,3,4,2
174,43,99,99,3,3,3,-1,3,4,2
187,45,99,99,3,3,3,-1,3,4,2
123,56,100,100,4,4,4,-1,3,4,2
130,50,100,100,4,4,4,-1,3,4,2
142,48,100,100,4,4,4,-1,3,4,2
145,54,100,100,4,4,4,-1,3,4,2
148,49,100,100,4,4,4,-1,3,4,2
149,55,100,100,4,4,4,-1,3,4,2
156,59,100,100,4,4,4,-1,3,4,2
160,57,100,100,4,4,4,-1,3,4,2
162,53,100,100,4,4,4,-1,3,4,2
163,58,100,100,4,4,4,-1,3,4,2
172,51,100,100,4,4,4,-1,3,4,2
175,52,100,100,4,4,4,-1,3,4,2
12,62,101,101,5,5,5,-1,3,4,2
13,63,101,101,5,5,5,-1,3,4,2
22,64,101,101,5,5,5,-1,3,4,2
37,60,101,101,5,5,5,65,3,4,2
43,70,101,101,5,5,5,-1,3,4,2
46,61,101,101,5,5,5,-1,3,4,2
64,68,101,101,5,5,5,-1,3,4,2
73,69,101,101,5,5,5,-1,3,4,2
74,71,101,101,5,5,5,-1,3,4,2
90,65,101,101,5,5,5,-1,3,4,2
99,66,101,101,5,5,5,-1,3,4,2
109,67,101,101,5,5,5,-1,3,4,2
7,80,102,102,6,6,6,-1,3,4,2
14,79,102,102,6,6,6,-1,3,4,2
21,78,102,102,6,6,6,-1,3,4,2
27,81,102,102,6,6,6,-1,3,4,2
41,83,102,102,6,6,6,-1,3,4,2
