Health_Key,Country,Date,Adults_And_Children_Living_With_HIV,Adults_Newly_Infected_With_HIV,%Births_By_Skilled_Health_Staff,Capital_Health_Expenditure_%GDP,DeathByNonCommunicableDiseasePercent,Domestic_General_Health_Expenditure_%GDP,Hospital_Beds_Per_1000ppl,Immunization_HepB3_%OneYearOld,ImmunizationMeasles%Children12To23Months,Number_Under-five_Deaths,Nurses_And_Midwives_Per_1000ppl,Physicians_Per_1000ppl,Prevalence_of_Anemia_%Non-pregnant,Prevalence_of_Anemia_%Pregnant,Prevalence_of_Overweight_%Adult,Suicide_Mortality_Rate_per_100000ppl,Survival_To_Age_65_Female,Survival_To_Age_65_Male,Total_Alcohol_Consumption_Per_Capita,Tuberculosis_Death_Rate_per_100000ppl
0,Bolivia,2005,10000.0,1000.0,71.1,0.50050497,64.6162738997523,2.75369644,1.1,85.0,89.0,14229.0,0.6084,0.3316,32.3,36.3,49.2,6.3,69.4655766,61.4583906,4.37,20.0
1,Bolivia,2006,10000.0,1000.0,71.1,0.55146682,64.6162738997523,2.61106277,1.1,83.0,88.0,13373.0,0.6084,0.3316,32.0,36.3,49.9,5.9,70.1396728,62.0370418,4.37,19.0
2,Bolivia,2007,11000.0,1000.0,71.1,0.57667035,64.6162738997523,2.77554274,1.1,84.0,86.0,12564.0,0.6084,0.3316,31.4,36.2,50.5,6.1,70.813769,62.615693,4.37,18.0
3,Bolivia,2008,11000.0,1000.0,71.1,0.49854699,64.6162738997523,2.70188808,1.1,88.0,92.0,11803.0,0.6084,0.3316,30.8,36.3,51.2,6.0,71.4069106,63.1359406,4.37,17.0
4,Bolivia,2009,11000.0,1000.0,71.1,0.61395139,64.6162738997523,3.15830708,1.1,93.0,93.0,11088.0,0.6084,0.3316,30.2,36.2,51.8,6.0,72.0000522,63.6561882,4.37,16.0
5,Bolivia,2010,12000.0,1000.0,71.1,0.43285498,64.6162738997523,3.05729294,1.1,91.0,88.0,10426.0,0.8326,0.4385,29.6,36.1,52.4,6.0,72.5931938,64.1764358,5.56,15.0
6,Bolivia,2011,12000.0,1000.0,84.0,0.47406825,64.6162738997523,3.02061009,1.07,95.0,96.0,9808.0,0.9928,0.4671,28.9,35.9,53.1,6.1,73.1863354,64.6966834,5.56,14.0
7,Bolivia,2012,12000.0,1000.0,84.8,0.52506632,64.6162738997523,2.9963541,1.1,93.0,92.0,9227.0,0.9928,0.4671,28.2,35.7,53.7,6.0,73.779477,65.216931,5.56,13.0
8,Bolivia,2013,13000.0,1000.0,73.5,0.68399805,64.6162738997523,3.26242661,1.12,87.0,87.0,8685.0,0.6961,0.4671,27.4,35.5,54.3,6.0,74.1798554,65.5199404,5.56,13.0
9,Bolivia,2014,13000.0,1000.0,73.5,0.79155195,64.6162738997523,3.69240761,1.15,85.0,89.0,8194.0,0.6961,0.4671,27.0,35.8,54.9,6.2,74.5802338,65.8229498,5.56,12.0
10,Bolivia,2015,14000.0,1000.0,72.8,0.97720146,70.2540013069343,4.30645227,1.13,89.0,95.0,7758.0,1.1914,0.4671,26.2,35.4,55.5,6.4,74.9806122,66.1259592,4.64,12.0
11,Bolivia,2016,15000.0,1000.0,89.8,0.96726048,70.2540013069343,4.4294467,1.27,87.0,94.0,7383.0,1.1179,1.5901,25.2,34.5,56.1,6.6,75.3809906,66.4289686,4.64,11.0
12,Bolivia,2017,15000.0,1000.0,99.5,0.59475273,70.2540013069343,4.44758177,1.29,84.0,83.0,7044.0,1.5589,1.0299,24.5,34.2,56.1,6.4,75.781369,66.731978,4.64,11.0
13,Bolivia,2018,16000.0,1000.0,71.5,0.77348596,70.2540013069343,4.835742,1.29,83.0,89.0,6750.0,1.5589,1.0299,24.0,33.8,56.1,6.3,76.1184064,67.0747602,4.43,11.0
14,Bolivia,2019,17000.0,1000.0,71.5,0.81315786,72.6759001252702,4.93192387,1.29,75.0,79.0,6486.0,1.5589,1.0299,23.9,33.7,56.1,6.2,76.4554438,67.4175424,4.43,10.0
15,Bolivia,2020,17000.0,1000.0,71.5,0.81315786,72.6759001252702,4.93192387,1.29,75.0,79.0,6253.0,1.5589,1.0299,23.9,33.7,56.1,6.2,76.4554438,67.4175424,4.43,11.0
16,Burundi,2005,110000.0,2700.0,31.8,0.50329405,72.6759001252702,2.06247282,1.29,87.0,87.0,37617.0,1.5589,1.0299,31.9,42.5,16.9,8.9,50.1406722,43.6006396,8.44,34.0
17,Burundi,2006,110000.0,2700.0,31.8,0.50329405,72.6759001252702,2.36401582,0.7,92.0,92.0,36555.0,1.5589,1.0299,31.2,42.0,17.3,8.9,51.5778656,45.0934158,8.44,32.0
18,Burundi,2007,100000.0,2500.0,31.8,0.50329405,72.6759001252702,2.46383524,0.7,99.0,88.0,35469.0,1.5589,1.0299,30.5,41.4,17.7,8.4,53.015059,46.586192,8.44,29.0
19,Burundi,2008,100000.0,2400.0,31.8,0.50329405,72.6759001252702,1.55912995,0.7,92.0,84.0,34397.0,1.5589,1.0299,29.9,40.9,18.2,7.9,54.0938096,47.5359656,8.44,25.0
