Country,Year,Population_15To64_Percent,Population_65andUp_Percent,Population_Growth_Percent,Population_Female_Percent,Population_Male_Percent,Rural_Population_Percent,Rural_Population_Growth_Percent,Urban_Population_Percent,Urban_Population_Growth_Percent,Life_Exp_Birth_Total_Yr,Life_Exp_Birth_Male_Yr,Life_Exp_Birth_Female_Yr
Blank,0,Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),"Population, female (% of total population)","Population, male (% of total population)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total population),Urban population growth (annual %),"Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)"
Canada,2005,69.2065015293815,13.1175521289763,0.944466927450734,50.4250440542598,49.5749559457402,19.878,0.557844254173616,80.122,1.04061858829188,80.1926829268293,77.9,82.6
Canada,2006,69.3303408825163,13.2686809629914,1.01033450270045,50.4150905888848,49.5849094111152,19.787,0.551491248878675,80.213,1.12384675481251,80.3439024390244,78.1,82.7
Canada,2007,69.4276791504025,13.4366453478164,0.971135141368055,50.4044557685291,49.5955442314709,19.604,0.0419781487099549,80.396,1.19901884209158,80.5439024390244,78.3,82.9
Canada,2008,69.4763348261205,13.631937571582,1.08290711607014,50.3948210128144,49.6051789871856,19.422,0.150191983656897,80.578,1.30902990520455,80.6951219512195,78.5,83.0
Canada,2009,69.4556581705621,13.8679313187456,1.14175809912162,50.3884108895213,49.6115891104787,19.242,0.210657043137183,80.758,1.36489394771959,80.9951219512195,78.8,83.3
Canada,2010,69.357773222125,14.1536509017159,1.11186407517168,50.3864843544046,49.6135156455953,19.063,0.177253215195272,80.937,1.33326871439499,81.2463414634146,79.1,83.5
Canada,2011,69.1335188560903,14.4512175296451,0.978697786570341,50.3897373751692,49.6102626248308,18.904,0.141129967876975,81.096,1.17495264216968,81.4487804878049,79.4,83.6
Canada,2012,68.8993795606957,14.8038988569679,1.08581726304756,50.3970917384501,49.6029082615499,18.863,0.868694356405575,81.137,1.13636233305053,81.6487804878049,79.6,83.8
Canada,2013,68.6308948007577,15.2018464818976,1.05659125917789,50.4058089554683,49.5941910445317,18.822,0.838999350897815,81.178,1.1071099946107,81.7487804878049,79.7,83.9
Canada,2014,68.3150902258466,15.6233662776347,1.00533757867378,50.4123054239784,49.5876945760216,18.782,0.792587517646634,81.218,1.05460141956621,81.8,79.8,83.9
Canada,2015,67.9548843196081,16.0536348121597,0.746339477969813,50.4141265575823,49.5858734424177,18.741,0.527807559356073,81.259,0.796807975480466,81.9,79.9,84.0
