Entity,Year_Ref,QOL
Canada,2005,174
Canada,2006,174
Canada,2007,174
Canada,2008,174
Canada,2009,174
Canada,2010,174
Canada,2011,174
Canada,2012,165
Canada,2013,186.03
Canada,2014,178
Canada,2015,177
Canada,2016,177
Canada,2017,167
Canada,2018,174
Canada,2019,170.32
Canada,2020,169.42
USA,2005,181
USA,2006,181
USA,2007,181
USA,2008,181
USA,2009,181
USA,2010,181
USA,2011,181
USA,2012,140
USA,2013,199.56
USA,2014,196
USA,2015,192
USA,2016,184
USA,2017,179
USA,2018,181
USA,2019,179.2
USA,2020,176.77
Mexico,2005,122.44
Mexico,2006,122.44
Mexico,2007,122.44
Mexico,2008,122.44
Mexico,2009,122.44
Mexico,2010,122.44
Mexico,2011,122.44
Mexico,2012,60.31
Mexico,2013,87.94
Mexico,2014,83
Mexico,2015,85
Mexico,2016,134
Mexico,2017,129
Mexico,2018,126
Mexico,2019,123.48
Mexico,2020,122.44
Burundi,2005,10
Burundi,2006,10
Burundi,2007,10
Burundi,2008,10
Burundi,2009,10
Burundi,2010,10
Burundi,2011,10
Burundi,2012,10
Burundi,2013,10
Burundi,2014,10
Burundi,2015,10
Burundi,2016,10
Burundi,2017,10
Burundi,2018,10
Burundi,2019,10
Burundi,2020,10
Bolivia,2005,81
Bolivia,2006,81
Bolivia,2007,81
Bolivia,2008,81
Bolivia,2009,81
Bolivia,2010,81
Bolivia,2011,81
Bolivia,2012,81
Bolivia,2013,81
Bolivia,2014,81
Bolivia,2015,81
Bolivia,2016,81
Bolivia,2017,81
Bolivia,2018,81
Bolivia,2019,81
Bolivia,2020,81
Chad,2005,10
Chad,2006,10
Chad,2007,10
Chad,2008,10
Chad,2009,10
Chad,2010,10
Chad,2011,10
Chad,2012,10
Chad,2013,10
Chad,2014,10
Chad,2015,10
Chad,2016,10
Chad,2017,10
Chad,2018,10
Chad,2019,10
Chad,2020,10
Indonesia,2005,62
Indonesia,2006,62
Indonesia,2007,62
Indonesia,2008,62
Indonesia,2009,62
Indonesia,2010,62
Indonesia,2011,62
Indonesia,2012,37.22
Indonesia,2013,-12.54
Indonesia,2014,22
Indonesia,2015,23
Indonesia,2016,72
Indonesia,2017,62
Indonesia,2018,112
Indonesia,2019,107.2
Indonesia,2020,101.9
Niger,2005,10
Niger,2006,10
Niger,2007,10
Niger,2008,10
Niger,2009,10
Niger,2010,10
Niger,2011,10
Niger,2012,10
Niger,2013,10
Niger,2014,10
Niger,2015,10
Niger,2016,10
Niger,2017,10
Niger,2018,10
Niger,2019,10
Niger,2020,10
Philippines,2005,57
Philippines,2006,57
Philippines,2007,57
Philippines,2008,57
Philippines,2009,57
Philippines,2010,57
Philippines,2011,57
Philippines,2012,-3.77
Philippines,2013,21.08
Philippines,2014,29
Philippines,2015,37
Philippines,2016,66
Philippines,2017,57
Philippines,2018,99
Philippines,2019,90.73
Philippines,2020,88.23
